Name,Value,Qty.,Part,Description,Footprint
IC1,SN74LVC1G08,3,SN74LVC1G08DBVR,Single 2-Input Positive-AND Gate,SOT-23-5
IC2,,,,,
IC3,,,,,
IC4,MC74HC00A,2,MC74HC00ADR2G,Quad 2-Input NAND Gate,SO-14
IC5,,,,,
LED1,grün,8,LED_0805_grün,Leuchtdiode 0805 green,LED_0805
LED2,,,,,
LED3,,,,,
LED4,,,,,
LED5,,,,,
LED6,,,,,
LED7,,,,,
LED8,,,,,
R1,0R,20,R_0805_generic,Widerstand 0805 generic,0805
R2,,,,,
R3,,,,,
R4,,,,,
R5,,,,,
R6,,,,,
R7,,,,,
R8,,,,,
R9,,,,,
R10,,,,,
R11,,,,,
R12,,,,,
R13,,,,,
R14,,,,,
R15,,,,,
R16,,,,,
R17,,,,,
R18,,,,,
R19,,,,,
R20,,,,,
R21,0R,20,R_0603_generic,Widerstand 0603 generic,0603
R22,,,,,
R23,,,,,
R24,,,,,
R25,,,,,
R26,,,,,
R27,,,,,
R28,,,,,
R29,,,,,
R30,,,,,
R31,,,,,
R32,,,,,
R33,,,,,
R34,,,,,
R35,,,,,
R36,,,,,
R37,,,,,
R38,,,,,
R39,,,,,
R40,,,,,
R41,180R,8,R_1206_generic,Dickfilmwiderstand SMD,1206
R42,,,,,
R43,,,,,
R44,,,,,
R45,,,,,
R46,,,,,
R47,,,,,
R68,,,,,
